Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
30204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,101,1078,550
30205,APURIMAC,ANDAHUAYLAS,HUANCARAY,84,343,1193
30206,APURIMAC,ANDAHUAYLAS,HUAYANA,12,126,202
30207,APURIMAC,ANDAHUAYLAS,KISHUARA,155,1588,558
30208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,80,410,958
30209,APURIMAC,ANDAHUAYLAS,PACUCHA,237,947,2290
30210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,71,400,429
30211,APURIMAC,ANDAHUAYLAS,POMACOCHA,19,119,278
30212,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,32,247,833
30213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,951,2540,1753
30214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,34,255,488
30215,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,148,1299,1883
30216,APURIMAC,ANDAHUAYLAS,TALAVERA,1221,2580,2327
30217,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,19,200,493
30218,APURIMAC,ANDAHUAYLAS,TURPO,66,453,1148
30219,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,38,517,260
30220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,91,677,660
30301,APURIMAC,ANTABAMBA,ANTABAMBA,81,346,803
30302,APURIMAC,ANTABAMBA,EL ORO,18,34,188
30303,APURIMAC,ANTABAMBA,HUAQUIRCA,25,293,342
30304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,19,449,302
30305,APURIMAC,ANTABAMBA,OROPESA,60,150,674
30306,APURIMAC,ANTABAMBA,PACHACONAS,39,234,112
30307,APURIMAC,ANTABAMBA,SABAINO,25,84,509
30401,APURIMAC,AYMARAES,CHALHUANCA,227,700,343
30402,APURIMAC,AYMARAES,CAPAYA,43,134,94
30403,APURIMAC,AYMARAES,CARAYBAMBA,18,128,296
30404,APURIMAC,AYMARAES,CHAPIMARCA,49,227,536
30405,APURIMAC,AYMARAES,COLCABAMBA,47,85,214
30406,APURIMAC,AYMARAES,COTARUSE,319,354,334
,APURIMAC,AYMARAES,HUAYLLO,33,99,160
30408,APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,27,59,299
30409,APURIMAC,AYMARAES,LUCRE,56,272,408
30410,APURIMAC,AYMARAES,POCOHUANCA,50,139,279
30411,APURIMAC,AYMARAES,SAN JUAN DE CHACNA,34,73,177
30412,APURIMAC,AYMARAES,SANAYCA,26,181,281
30413,APURIMAC,AYMARAES,SORAYA,24,67,285
30414,APURIMAC,AYMARAES,TAPAIRIHUA,60,293,420
30415,APURIMAC,AYMARAES,TINTAY,60,453,617
30416,APURIMAC,AYMARAES,TORAYA,48,83,504
30417,APURIMAC,AYMARAES,YANACA,34,179,297
