Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
APURIMAC,CHINCHEROS,EL PORVENIR,25,334,458
APURIMAC,CHINCHEROS,LOS CHANKAS,22,203,296
APURIMAC,CHINCHEROS,AHUAYRO,20,165,296
APURIMAC,GRAU,CHUQUIBAMBILLA,186,737,782
APURIMAC,GRAU,CURPAHUASI,45,340,497
APURIMAC,GRAU,GAMARRA,58,99,1136
APURIMAC,GRAU,HUAYLLATI,33,208,263
APURIMAC,GRAU,MAMARA,16,62,244
APURIMAC,GRAU,MICAELA BASTIDAS,43,85,346
APURIMAC,GRAU,PATAYPAMPA,14,39,356
APURIMAC,GRAU,PROGRESO,108,446,780
APURIMAC,GRAU,SAN ANTONIO,17,35,157
APURIMAC,GRAU,SANTA ROSA,16,14,305
APURIMAC,GRAU,TURPAY,9,58,151
APURIMAC,GRAU,VILCABAMBA,55,227,237
APURIMAC,GRAU,VIRUNDO,10,46,296
APURIMAC,GRAU,CURASCO,22,89,383
AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,18915,3842,411
AREQUIPA,AREQUIPA,CAYMA,19416,5744,879
AREQUIPA,AREQUIPA,CERRO COLORADO,35658,21671,2547
AREQUIPA,AREQUIPA,CHARACATO,3516,631,66
AREQUIPA,AREQUIPA,CHIGUATA,695,200,259
AREQUIPA,AREQUIPA,JACOBO HUNTER,13331,2447,264
AREQUIPA,AREQUIPA,LA JOYA,1422,2930,1083
AREQUIPA,AREQUIPA,MARIANO MELGAR,13335,4758,323
AREQUIPA,AREQUIPA,MIRAFLORES,11812,1756,184
AREQUIPA,AREQUIPA,MOLLEBAYA,1199,524,179
AREQUIPA,AREQUIPA,PAUCARPATA,28986,6301,995
AREQUIPA,AREQUIPA,POCSI,47,39,24
AREQUIPA,AREQUIPA,POLOBAYA,138,83,32
AREQUIPA,AREQUIPA,QUEQUEÑA,144,347,132
AREQUIPA,AREQUIPA,SABANDIA,1256,214,63
AREQUIPA,AREQUIPA,SACHACA,3591,895,228
AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,90,118,59
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,136,196,311
AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,71,118,72
